day,time,rank,forgo none floor,forgo none u,forgo one floor,forgo one u,forgo two floor,forgo two u,forgo three floor,forgo three u
Monday,10:30 AM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",First,2.043,Third,1.773,Third,1.319,Basement,3.309
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.048,Basement,0.053,Basement,0.034,Basement,0.093
Monday,10:30 AM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.001,Basement,0.001,Basement,0.001,Basement,0.003
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,10:30 AM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,1:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.893,Third,1.495,Third,1.112,Basement,2.482
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.036,Basement,0.04,Basement,0.025,Basement,0.07
Monday,1:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.001,Basement,0.0,Basement,0.001,Basement,0.002
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,1:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,4:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.046,First,0.821,Fourth,0.643,First,1.256
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.016,Basement,0.018,Basement,0.011,Basement,0.031
Monday,4:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.001
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,4:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,7:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.495,First,1.173,Basement,0.824,Basement,2.206
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.032,Basement,0.036,Basement,0.022,Basement,0.062
Monday,7:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.001,Basement,0.0,Basement,0.001,Basement,0.002
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,7:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,10:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",Basement,1.15,Basement,0.836,Basement,1.185,Basement,3.171
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.046,Basement,0.051,Basement,0.032,Basement,0.089
Monday,10:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.001,Basement,0.001,Basement,0.001,Basement,0.003
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,10:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Tuesday,10:30 AM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",First,2.242,First,1.76,Third,1.086,First,2.692
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.038,Basement,0.042,Basement,0.027,Basement,0.074
Tuesday,10:30 AM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.001,Basement,0.001,Basement,0.001,Basement,0.002
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Tuesday,10:30 AM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Tuesday,1:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",First,1.495,First,1.173,Third,0.776,Basement,2.068
Tuesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.03,Basement,0.033,Basement,0.021,Basement,0.058
