day,time,rank,forgo none floor,forgo none u,forgo one floor,forgo one u,forgo two floor,forgo two u,forgo three floor,forgo three u
Monday,10:30 AM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.735,First,1.296,Basement,0.909,Basement,0.8
Monday,1:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.608,First,1.201,Third,0.692,Basement,0.6
Monday,4:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,0.889,First,0.664,Fourth,0.442,Basement,0.267
Monday,7:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.27,First,0.948,Basement,0.606,Basement,0.533
Monday,10:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.836,Basement,0.523,Basement,0.871,Basement,0.767
Tuesday,10:30 AM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.904,First,1.422,Basement,0.72,Basement,0.633
Tuesday,1:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.27,First,0.948,Basement,0.568,Basement,0.5
Tuesday,4:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,0.677,First,0.506,Basement,0.53,Basement,0.467
Tuesday,7:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.655,Third,0.5,Basement,0.682,Basement,0.6
Tuesday,10:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.397,First,1.043,Basement,0.644,Basement,0.567
Wednesday,10:30 AM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Third,1.644,Third,1.6,Fourth,1.117,Basement,0.933
Wednesday,1:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.354,First,1.011,Third,0.612,Basement,0.467
Wednesday,4:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,0.719,First,0.537,Basement,0.644,Basement,0.567
Wednesday,7:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Third,1.079,Third,1.05,Third,0.676,Basement,0.467
Wednesday,10:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Third,1.13,Third,1.1,Third,0.708,Basement,0.6
Thursday,10:30 AM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.651,Third,1.375,Third,0.885,Basement,0.7
Thursday,1:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Third,0.976,Third,0.95,Third,0.612,Basement,0.5
Thursday,4:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.618,Third,0.6,Basement,0.644,Basement,0.567
Thursday,7:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,2.158,First,1.612,Third,0.982,Basement,0.567
Thursday,10:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.27,Third,1.225,Basement,0.795,Basement,0.7
Friday,10:30 AM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Third,1.13,Third,1.1,Fourth,0.832,Basement,0.6
Friday,1:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.735,First,1.296,Second,0.861,Basement,0.733
Friday,4:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Third,0.95,Third,0.925,Fourth,0.806,Basement,0.667
Friday,7:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.608,First,1.201,Basement,1.061,Basement,0.933
Friday,10:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",First,1.82,First,1.359,Basement,1.136,Basement,1.0
