day,time,rank,forgo none floor,forgo none u,forgo one floor,forgo one u,forgo two floor,forgo two u,forgo three floor,forgo three u
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.911,Basement,1.6,Third,1.118,Basement,2.909
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.771,First,1.391,Third,0.942,Basement,2.182
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,0.979,First,0.769,Fourth,0.556,First,1.129
Monday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.398,First,1.098,Fourth,0.687,Basement,1.939
Monday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,1.359,Basement,1.533,Basement,0.906,Basement,2.788
Tuesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,2.097,First,1.647,Third,0.921,First,2.419
Tuesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.398,First,1.098,Third,0.658,Basement,1.818
Tuesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.827,Basement,0.933,Basement,0.552,Basement,1.697
Tuesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,1.064,Basement,1.2,Basement,0.709,Basement,2.182
Tuesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.538,First,1.208,Third,0.855,Basement,2.061
Wednesday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.775,Basement,1.867,Fourth,1.407,Basement,3.394
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.491,First,1.171,Third,0.833,First,1.72
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,1.005,Basement,1.133,Basement,0.67,Basement,2.061
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.165,Second,1.052,Third,0.921,Second,1.717
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.221,Basement,1.2,Third,0.964,Basement,2.182
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.818,First,1.428,Third,1.205,Basement,2.545
Thursday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Third,1.054,Basement,1.0,Third,0.833,Basement,1.818
Thursday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,1.005,Basement,1.133,Basement,0.67,Basement,2.061
Thursday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,2.377,First,1.867,Third,1.337,First,2.741
Thursday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.398,Basement,1.4,Third,1.074,Basement,2.545
Friday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Second,1.291,Second,1.343,Fourth,1.047,Second,2.19
Friday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.911,First,1.501,Second,0.975,Basement,2.667
Friday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Second,1.186,Basement,1.333,Fourth,1.015,Basement,2.424
Friday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,1.771,Basement,1.867,Basement,1.103,Basement,3.394
Friday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",First,2.004,Basement,2.0,Basement,1.182,Basement,3.636
Monday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.757,Basement,1.436,Third,0.869,Basement,0.673
Monday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,1.629,First,1.249,Third,0.733,Basement,0.505
Monday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",First,0.9,First,0.69,Fourth,0.456,Basement,0.224
